id,name,team
1,Mahendra Singh Dhoni,Chennai Super Kings
2,Mahendra Singh Dhoni,Rising Pune Super Giants
3,Rohit Sharma,Mumbai Indians
4,Gautam Gambhir,Kolkata Knight Riders
5,Gautam Gambhir,Delhi Daredevils
6,Murali Vijay,Kings XI Punjab
7,Adam Gilchrist,Kings XI Punjab
8,Adam Gilchrist,Deccan Chargers
9,Shane Warne,Rajasthan Royals
10,Virat Kohli,Royal Challengers Bangalore
11,Virender Sehwag,Delhi Daredevils
12,Virender Sehwag,Kings XI Punjab
13,Sachin Tendulkar,Mumbai Indians
14,Rahul Dravid,Rajasthan Royals
15,Rahul Dravid,Royal Challengers Bangalore
16,Kumar Sangakkara,Sunrisers Hyderabad
17,Kumar Sangakkara,Deccan Chargers
18,Kumar Sangakkara,Kings XI Punjab
19,Yuvraj Singh,Pune Warriors India
20,Yuvraj Singh,Kings XI Punjab
21,Sourav Ganguly,Pune Warriors India
22,Sourav Ganguly,Kolkata Knight Riders
23,George Bailey,Kings XI Punjab
24,Mahela Jayawardene,Delhi Daredevils
25,Mahela Jayawardene,Kochi Tuskers Kerala
26,Mahela Jayawardene,Kings XI Punjab
27,Anil Kumble,Royal Challengers Bangalore
28,Daniel Vettori,Royal Challengers Bangalore
29,Shane Watson,Rajasthan Royals
30,Shane Watson,Royal Challengers Bangalore
31,Harbhajan Singh,Mumbai Indians
32,Kevin Pietersen,Royal Challengers Bangalore
33,Kevin Pietersen,Delhi Daredevils
34,David Warner,Delhi Daredevils
35,David Warner,Sunrisers Hyderabad
36,Jean Paul Duminy,Delhi Daredevils
37,Brendon McCullum,Kolkata Knight Riders
38,Brendon McCullum,Gujarat Lions
39,Steve Smith,Pune Warriors India
40,Steve Smith,Rajasthan Royals
41,Steve Smith,Rising Pune Supergiant
42,David Hussey,Kings XI Punjab
43,Cameron White,Sunrisers Hyderabad
44,Cameron White,Deccan Chargers
45,Shikhar Dhawan,Sunrisers Hyderabad
46,Aaron Finch,Pune Warriors India
47,Dinesh Karthik,Kolkata Knight Riders
48,Dinesh Karthik,Delhi Daredevils
49,V. V. S. Laxman,Deccan Chargers
50,Ricky Ponting,Mumbai Indians
51,Angelo Mathews,Pune Warriors India
52,Shaun Pollock,Mumbai Indians
53,Darren Sammy,Sunrisers Hyderabad
54,James Hopes,Delhi Daredevils
55,Glenn Maxwell,Kings XI Punjab
56,Suresh Raina,Chennai Super Kings
57,Suresh Raina,Gujarat Lions
58,Dwayne Bravo,Mumbai Indians
59,Parthiv Patel,Kochi Tuskers Kerala
60,Ross Taylor,Pune Warriors India
61,Zaheer Khan,Delhi Daredevils
62,Ajinkya Rahane,Rising Pune Supergiants
63,Ajinkya Rahane,Rajasthan Royals
64,Kane Williamson,Sunrisers Hyderabad
65,Ravichandran Ashwin,Kings XI Punjab
66,Shreyas Iyer,Delhi Capitals
67,David Miller,Kings XI Punjab
68,Kieron Pollard,Mumbai Indians
69,Bhuvneshwar Kumar,Sunrisers Hyderabad
